Регион,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Республика Адыгея (Адыгея),25.9,14.7,29.3,16.0,27.5,29.0,33.7,29.5,44.3,40.8,43.2,34.8,41.4,41.1,43.8,49.1,39.5,48.7,49.3,54.5,52.3,51.9,54.37,54.87,60.97
Республика Калмыкия,18.7,22.2,26.3,24.2,20.7,25.9,30.9,28.7,32.1,35.8,29.8,34.2,35.9,29.9,23.2,34.3,36.7,38.3,42.5,33.1,31.3,40.5,39.98,40.44,46.85
Краснодарский край,43.0,42.2,42.0,35.1,42.6,47.2,49.4,50.0,52.0,60.5,62.3,61.0,64.3,57.6,62.9,63.0,59.9,59.9,66.1,64.6,66.4,64.3,68.93,70.51,73.74
Астраханская область,16.6,18.7,23.2,19.1,23.0,26.2,30.3,29.7,29.5,33.0,34.1,35.1,33.9,40.4,39.1,43.8,43.8,46.9,44.4,41.6,43.1,47.5,48.14,34.75,47.66
Ростовская область,30.8,29.2,34.5,30.4,29.4,34.7,33.8,41.4,34.4,42.1,44.8,38.9,46.5,49.4,46.2,56.2,56.2,49.1,57.2,60.3,52.9,63.4,60.27,66.97,66.48
Республика Дагестан,16.8,21.4,21.2,20.8,21.2,25.5,27.6,24.0,29.5,32.0,30.7,32.7,33.5,35.3,41.8,42.4,42.1,41.2,42.6,46.0,43.5,45.1,45.06,51.01,50.2
Приморский край,18.6,15.5,14.1,10.1,15.6,17.5,17.0,19.6,22.7,22.0,29.3,27.4,21.4,22.3,25.1,26.7,25.9,26.2,20.9,23.7,27.0,24.8,30.38,33.21,34.45
